Fragment,Count,Time (ms),Size (bytes)
Cross.list-careteams,3,1,0
Cross.list-careteams-json,3,27,0
Cross.list-careteams-xml,3,56,0
Cross.list-catalogentries,3,0,0
Cross.list-catalogentries-json,3,27,0
Cross.list-catalogentries-xml,3,51,0
Cross.list-chargeitemdefinitions,3,1,0
Cross.list-chargeitemdefinitions-json,3,16,0
Cross.list-chargeitemdefinitions-xml,3,31,0
Cross.list-chargeitems,3,0,0
Cross.list-chargeitems-json,3,28,0
Cross.list-chargeitems-xml,3,48,0
Cross.list-claimresponses,3,1,0
Cross.list-claimresponses-json,3,25,0
Cross.list-claimresponses-xml,3,49,0
Cross.list-claims,3,0,0
Cross.list-claims-json,3,27,0
Cross.list-claims-xml,3,59,0
Cross.list-clinicalimpressions,3,1,0
Cross.list-clinicalimpressions-json,3,29,0
Cross.list-clinicalimpressions-xml,3,54,0
Cross.list-codesystems,3,0,276
Cross.list-codesystems-json,3,19,291
Cross.list-codesystems-xml,3,36,288
Cross.list-communicationrequests,3,1,0
Cross.list-communicationrequests-json,3,27,0
Cross.list-communicationrequests-xml,3,50,0
Cross.list-communications,3,1,0
Cross.list-communications-json,3,24,0
Cross.list-communications-xml,3,48,0
Cross.list-compartmentdefinitions,3,1,0
Cross.list-compartmentdefinitions-json,3,30,0
Cross.list-compartmentdefinitions-xml,3,55,0
Cross.list-compositions,3,0,0
Cross.list-compositions-json,3,35,0
Cross.list-compositions-xml,3,63,0
Cross.list-conceptmaps,3,0,0
Cross.list-conceptmaps-json,3,16,0
Cross.list-conceptmaps-xml,3,32,0
Cross.list-conditions,3,0,0
Cross.list-conditions-json,3,28,0
Cross.list-conditions-xml,3,61,0
Cross.list-consents,3,1,0
Cross.list-consents-json,3,41,0
Cross.list-consents-xml,3,82,0
Cross.list-contracts,3,1,0
Cross.list-contracts-json,3,24,0
Cross.list-contracts-xml,3,49,0
Cross.list-coverageeligibilityrequests,3,0,0
Cross.list-coverageeligibilityrequests-json,3,23,0
Cross.list-coverageeligibilityrequests-xml,3,47,0
Cross.list-coverageeligibilityresponses,3,0,0
Cross.list-coverageeligibilityresponses-json,3,26,0
Cross.list-coverageeligibilityresponses-xml,3,49,0
Cross.list-coverages,3,1,0
Cross.list-coverages-json,3,20,0
Cross.list-coverages-xml,3,38,0
Cross.list-detectedissues,3,0,0
Cross.list-detectedissues-json,3,33,0
Cross.list-detectedissues-xml,3,65,0
Cross.list-devicedefinitions,3,1,0
Cross.list-devicedefinitions-json,3,19,0
Cross.list-devicedefinitions-xml,3,34,0
Cross.list-devicemetrics,3,0,0
Cross.list-devicemetrics-json,3,17,0
Cross.list-devicemetrics-xml,3,36,0
Cross.list-devicerequests,3,0,0
Cross.list-devicerequests-json,3,34,0
Cross.list-devicerequests-xml,3,60,0
Cross.list-devices,3,0,0
Cross.list-devices-json,3,19,0
Cross.list-devices-xml,3,38,0
Cross.list-deviceusestatements,3,1,0
Cross.list-deviceusestatements-json,3,21,0
Cross.list-deviceusestatements-xml,3,45,0
Cross.list-diagnosticreports,3,1,0
Cross.list-diagnosticreports-json,3,28,0
Cross.list-diagnosticreports-xml,3,55,0
Cross.list-documentmanifests,3,2,0
Cross.list-documentmanifests-json,3,37,0
Cross.list-documentmanifests-xml,3,70,0
Cross.list-documentreferences,3,1,0
Cross.list-documentreferences-json,3,32,0
Cross.list-documentreferences-xml,3,64,0
Cross.list-domainresources,3,0,0
Cross.list-domainresources-json,3,32,0
Cross.list-domainresources-xml,3,65,0
Cross.list-effectevidencesyntheses,3,0,0
Cross.list-effectevidencesyntheses-json,3,18,0
Cross.list-effectevidencesyntheses-xml,3,38,0
Cross.list-encounters,3,2,0
Cross.list-encounters-json,3,29,0
Cross.list-encounters-xml,3,68,0
Cross.list-endpoints,3,2,0
Cross.list-endpoints-json,3,42,0
Cross.list-endpoints-xml,3,77,0
Cross.list-enrollmentrequests,3,1,0
Cross.list-enrollmentrequests-json,3,33,0
Cross.list-enrollmentrequests-xml,3,69,0
